operator,deaths by operator
Aeroflot,7156
Pan American,1962
Air France,1730
American Airlines,1421
United Air Lines,1021
AVIANCA,941
Turkish Airlines (THY),891
Indian Airlines,863
China Airlines (Taiwan),847
Air India,827
Trans World Airlines,784
Japan Air Lines,764
Korean Airlines,713
Eastern Air Lines,710
Pakistan International Airlines,693
KLM Royal Dutch Airlines,615
Iberia,576
Garuda Indonesia Airlines,574
Lufthansa,547
Northwest Orient Airlines,531
Ceskoslovenske Aerolinie,516
British European Airways,512
British Overseas Airways,506
Cubana de Aviacion,486
Alia Royal Jordanian Airlines,463
Alitalia,458
Philippine Air Lines,455
Air Vietnam (South Vietnam),434
Varig,417
LOT Polish Airlines,417
Swissair,411
EgyptAir,406
Sabena,401
VASP,378
Thai Airways,358
Saudi Arabian Airlines / Kazastan Airlines,349
Saudi Arabian Airlines,349
Balkan Bulgarian Airlines,346
Iran Air,343
Aerolineas Argentinas,340
United Arab Airlines,337
South African Airways,336
China National Aviation Corporation,322
Linea Aeropostal Venezolana,313
TAM (Brazil),310
TAME,306
Delta Air Lines,299
Mexicana,290
Kenya Airways,283
Lloyd Aereo Boliviano,281
